country_code;YR2015;YR2016;YR2017;YR2018;YR2019;average_density
AUS;15.27394082;15.24800422;15.44787314;14.47961866;13.58991348;14.807870064
BRA;1.728238512;1.577894594;1.624076318;1.73797895;1.979777156;1.729593106
CHN;7.706354039;9.081590345;8.578018031;8.669261084;8.153255979;8.4376958956
DEU;1.295507395;1.313211097;1.332757051;1.353475727;1.377621712;1.3345145964
FRA;4.11740454;4.53048019;4.752939674;4.832756121;5.255148849;4.6977458748
GRC;0.678740506;0.827089051;1.116587438;1.438160199;1.74148815;1.1604130688
IND;0.093227877;0.106758375;0.120678374;0.13047505;0.140423486;0.1183126324
NGA;0.731888916;0.76269253;0.7729051;0.825373517;0.842952265;0.7871624656
RWA;1.533226683;1.520756924;1.464681415;1.501837604;1.737702694;1.551641064
USA;;;;;;
