country_code;YR2015;YR2016;YR2017;YR2018;YR2019;average_ease
AUS;80.38389;80.22369;80.76007;80.70552;81.21506;80.657646
BRA;55.61506;55.22357;55.6207;58.59449;59.08307;56.827378
CHN;62.27669;63.79116;64.20096;73.30366;77.28424;68.171342
DEU;79.5005;79.5543;79.34962;79.34794;79.71004;79.49248
FRA;76.14755;76.25038;76.01011;76.77957;76.80465;76.398452
GRC;66.92296;67.08976;67.11485;67.40997;68.42391;67.39229
IND;54.52099;55.94046;60.9076;67.49639;71.04511;61.98211
NGA;48.37466;48.47451;52.02699;53.40471;56.87589;51.831352
RWA;67.05448;68.97118;71.07347;75.37431;76.48282;71.791252
USA;83.59247;83.58991;83.59008;83.57395;83.99668;83.668618
